
alcohol concentration 
6480
6256
6208
6208
5984
6144
5984
6064
5968
5968
5872
5920
5856
5744
5776
5744
5728
5888
5632
5440
5392
5632
5872
5728
5728
5104
5792
5744
5344
5552
5696
5680
5552
6128
6608
6880
10544
13152
13632
13856
13584
12912
14832
19552
22992
24672
27200
26624
27296
26000
24048
22512
21472
20768
19888
19040
17360
17888
17120
16832
15776
15808
15808
14752
15024
14656
14640
14432
13968
13904
13376
13744
13680
13104
12832
12928
12560
12320
12272
12288
12256
11360
11760
11808
11888
11888
11792
11776
11984
12400
11296
11504
11232
11264
11296
11104
10768
10912
10576
10592
10624
10416
10544
10128
10160
10080
9936
10160
9936
10016
9680
9952
9888
9584
8752
9536
9264
10208
9520
9072
alcohol concentration 
6816
7328
6752
6816
5712
6368
6752
6624
6656
6464
6768
6464
6352
7360
6432
6544
6576
6672
6560
6592
6544
6384
6624
6480
6832
6512
6464
6368
6432
7680
11888
14432
14912
14464
14032
13152
12416
11952
11728
11024
10736
10704
10112
9616
9728
8800
9584
9216
10208
9008
9072
8800
8752
8544
8416
8368
8560
6960
8304
12064
15392
16304
15056
15632
14864
13840
13232
13184
12784
12176
11472
11008
11024
10752
10256
10496
11424
10176
9920
10784
9712
9728
9600
9536
9536
9216
8896
8912
8864
8720
8992
8400
8832
8800
8720
8672
8832
8528
8192
8352
8448
8432
8080
8144
8208
7936
7408
8096
8224
7040
8512
7952
7888
7792
7888
7904
8672
7616
7552
7680
alcohol concentration 
7392
7616
7264
7552
7584
6640
7600
7376
7280
7248
6704
7296
8128
7344
6400
6992
7312
7056
6016
7072
6944
7216
7392
6928
7040
6864
7024
7136
7168
7760
7808
7088
6736
6816
7152
6544
7872
8464
9008
8800
9120
9792
9376
8992
8880
8576
8688
8640
8400
7920
8032
8064
8640
7728
7936
7632
7456
7248
7616
7376
6800
7232
7584
7488
7696
7104
7408
7168
7216
7296
6848
7296
7168
7248
6848
7120
6816
6928
7120
6912
6912
6592
7008
7008
6560
6864
6912
6896
6624
6816
5552
6864
6656
7312
6592
6848
6704
6672
6928
6704
6608
6672
6720
6464
6624
5952
6784
6560
6464
6608
7504
6688
6560
6528
6576
6768
6528
6480
6416
6368
